"","TeamID","Season","total_games","FGM","FGA","OppFGM","OppFGA","FGM3","FGA3","OppFGM3","OppFGA3","FTM","FTA","OppFTM","OppFTA","meanDiffPoints","sdDiffPoints","TeamName"
"45",1332,2021,26,715,1514,631,1449,218,575,191,568,286,406,300,393,5.92307692307692,10.4457573279225,"Oregon"
"46",1333,2021,28,668,1570,670,1505,193,557,178,567,406,534,421,575,-0.678571428571429,11.7978452879818,"Oregon St"
"47",1345,2021,27,689,1527,630,1521,192,573,219,695,350,492,311,461,5.81481481481481,10.5649530816863,"Purdue"
"48",1353,2021,26,696,1544,627,1494,157,505,171,532,270,427,349,496,2.26923076923077,13.6925021593796,"Rutgers"
"49",1361,2021,26,668,1473,533,1358,218,582,203,617,363,505,325,444,11.8461538461538,12.1216906665442,"San Diego St"
"50",1364,2021,24,628,1333,556,1307,157,451,135,404,361,473,279,366,9.41666666666667,12.7208034565318,"UC Santa Barbara"
"51",1382,2021,20,521,1161,429,1104,131,370,146,477,237,323,203,312,10.9,11.0924345958477,"St Bonaventure"
"52",1393,2021,25,677,1535,634,1527,203,603,213,673,339,432,287,383,5.52,14.1719205943772,"Syracuse"
"53",1397,2021,26,661,1491,572,1436,173,512,174,547,390,523,326,446,9.30769230769231,17.225026515554,"Tennessee"
"54",1400,2021,26,684,1507,624,1512,225,631,163,505,363,513,378,555,4.03846153846154,10.897635593947,"Texas"
"55",1403,2021,27,686,1548,583,1419,168,484,192,547,432,608,354,517,10.5185185185185,14.569120057823,"Texas Tech"
"56",1411,2021,23,607,1363,557,1381,105,379,170,524,373,528,328,469,6.30434782608696,12.4770144396832,"TX Southern"
"57",1417,2021,26,686,1485,640,1459,173,471,200,569,349,484,301,409,5.38461538461539,11.0998267484747,"UCLA"
"58",1422,2021,29,803,1894,664,1605,221,736,215,675,308,451,413,584,5.96551724137931,9.43959275234103,"UNC Greensboro"
"59",1425,2021,29,788,1687,683,1735,183,526,209,612,409,632,313,430,10.551724137931,11.4629409305957,"USC"
"60",1429,2021,27,721,1624,592,1521,177,526,202,612,343,478,293,397,11.4074074074074,14.6320492787875,"Utah St"
"61",1433,2021,26,659,1460,590,1457,168,510,156,511,378,497,358,516,6.07692307692308,11.4992976374145,"VCU"
"62",1437,2021,22,581,1292,544,1219,203,576,175,495,297,388,214,314,7.13636363636364,10.5978230223878,"Villanova"
"63",1438,2021,24,608,1266,529,1272,204,535,161,473,227,278,232,313,6.375,13.5030189861057,"Virginia"
"64",1439,2021,21,534,1183,487,1164,173,485,151,458,274,393,251,359,5.57142857142857,13.9088871897482,"Virginia Tech"
"65",1452,2021,27,711,1660,716,1619,196,549,195,604,469,654,320,461,5.14814814814815,8.97733772298851,"West Virginia"
"66",1455,2021,19,454,1121,473,1148,159,461,135,438,299,428,235,341,1.36842105263158,6.76765613714551,"Wichita St"
"67",1457,2021,24,674,1463,574,1332,203,575,157,485,358,522,298,450,10.8333333333333,7.24518830833184,"Winthrop"
"68",1458,2021,29,711,1690,679,1606,248,689,181,549,349,455,326,458,3,14.121918121437,"Wisconsin"
